object_name,luminosity,star_color,koi_pdisposition,koi_disposition
OBJECT NAME WASN'T RECORDED,1.6803897528286863e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,3.279059000455061e+27,Yellow,CANDIDATE,CANDIDATE
Kepler-1924 b,6.121773223399321e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,6.880896008867157e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-1510 b,1.2624437657359222e+27,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,9.222068099515722e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,6.1624974201921915e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.2269630486667574e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,9.70810357130619e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.167085493154336e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,7.647400647167016e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.905674133705317e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,6.362300983922613e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,7.011758422238988e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,7.011758422238988e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,4.574708349466791e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.516909899496627e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,,Red,FALSE POSITIVE,FALSE POSITIVE
Kepler-1471 c,4.394458718447207e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.27513174140693e+25,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-1493 b,7.614718606949575e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.12365221068922e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-1494 b,4.2894900763962314e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-1495 b,4.739027121624897e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.080898163434823e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.348686935767845e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,2.1434644310270642e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.427675487019399e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.0673786793560748e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.0699639276529896e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,5.951701277713106e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.0102072198006601e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,5.165231773451027e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.0170235251465128e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.1192674922656676e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-968 c,4.236993695799893e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,6.0738842109974766e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-1471 b,4.394458718447207e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-1472 b,6.945980994097118e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-1473 b,4.609545300062822e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.5807996712482193e+27,Yellow-white,CANDIDATE,CANDIDATE
Kepler-1917 b,2.0027123112429274e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-1474 b,3.997917245151129e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.2705251870530362e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,8.814418179980391e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,1.0162657208074593e+27,Yellow-white,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,8.73893069126976e+26,Orange,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,6.72442887590617e+28,White,CANDIDATE,CANDIDATE
Kepler-315 c,3.920233572701934e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.935737511902096e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.6436990262608087e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,8.180184023240885e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.2348611998385245e+28,White,CANDIDATE,CANDIDATE
Kepler-1925 b,4.8363214212679515e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,5.2715570395981055e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,8.614614837758176e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,2.2423438192524188e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,5.42690443883835e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,9.01503520621638e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.1193790397425769e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.6899714264688407e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-1475 b,4.7802254588884096e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.415526218385478e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.7752307749864943e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.767013064186188e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-1476 b,4.3272472964889224e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.6453452257296175e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-1920 b,7.2166984961134e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.5040121127396043e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-1921 b,1.9352242045755172e+27,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.776451569130518e+25,Orange,CANDIDATE,CANDIDATE
Kepler-1921 c,1.9352242045755172e+27,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,5.0891263842385555e+26,Yellow-white,CANDIDATE,CANDIDATE
